,year,month,tournament_link,tournament_name,tournament_dates,tournament_prize_money,tournament_super_level,city,country,men_singles_winner,men_singles_runner_up,men_singles_third_place_1,men_singles_third_place_2,women_singles_winner,women_singles_runner_up,women_singles_third_place_1,women_singles_third_place_2,men_doubles_winner_1,men_doubles_winner_2,men_doubles_runner_up_1,men_doubles_runner_up_2,men_doubles_third_place_1_1,men_doubles_third_place_1_2,men_doubles_third_place_2_1,men_doubles_third_place_2_2,women_doubles_winner_1,women_doubles_winner_2,women_doubles_runner_up_1,women_doubles_runner_up_2,women_doubles_third_place_1_1,women_doubles_third_place_1_2,women_doubles_third_place_2_1,women_doubles_third_place_2_2,mixed_doubles_winner_1,mixed_doubles_winner_2,mixed_doubles_runner_up_1,mixed_doubles_runner_up_2,mixed_doubles_third_place_1_1,mixed_doubles_third_place_1_2,mixed_doubles_third_place_2_1,mixed_doubles_third_place_2_2
50,2019,"
NOVEMBER ",https://bwfworldtour.bwfbadminton.com/tournament/3396/ecogreen-syed-modi-international-badminton-championships-2019,Ecogreen Syed Modi International Badminton Championships 2019,26 NOVEMBER - 01 DECEMBER,"PRIZE MONEY USD $150,000",https://extranet.bwf.sport/docs/tmt-category/WT_300.svg,Lucknow,India,WANG Tzu Wei,Sourabh VERMA,HEO Kwang Hee,SON Wan Ho,Carolina MARIN,LALINRAT CHAIWAN,Rituparna DAS,KIM Ga Eun,HE Ji Ting,TAN Qiang,CHOI Sol Gyu,SEO Seung Jae,HAN Cheng Kai,ZHOU Hao Dong,DI Zi Jian,WANG Chang,BAEK Ha Na,JUNG Kyung Eun,CHANG Ye Na,KIM Hyerin,Linda EFLER,Isabel LOHAU,NG Wing Yung,YEUNG Nga Ting,Rodion ALIMOV,Alina DAVLETOVA,Marcus ELLIS,Lauren SMITH,Mark LAMSFUSS,Isabel LOHAU,Thom GICQUEL,Delphine DELRUE
51,2020,JANUARY,https://bwfworldtour.bwfbadminton.com/tournament/3687/perodua-malaysia-masters-2020,PERODUA Malaysia Masters 2020,07 - 12 JANUARY,"PRIZE MONEY USD $400,000",https://extranet.bwf.sport/docs/tmt-category/WT_500.svg,Kuala Lumpur,Malaysia,Kento MOMOTA,Viktor AXELSEN,LEE Zii Jia,NG Ka Long Angus,CHEN Yu Fei,TAI Tzu Ying,HE Bing Jiao,Carolina MARIN,KIM Gi Jung,LEE Yong Dae,LI Jun Hui,LIU Yu Chen,Fajar ALFIAN,Muhammad Rian ARDIANTO,Mohammad AHSAN,Hendra SETIAWAN,LI Wen Mei,ZHENG Yu,DU Yue,LI Yin Hui,Greysia POLII,Apriyani RAHAYU,Nami MATSUYAMA,Chiharu SHIDA,ZHENG Si Wei,HUANG Ya Qiong,WANG Yi Lyu,HUANG Dong Ping,Hafiz FAIZAL,Gloria Emanuelle WIDJAJA,CHAN Peng Soon,GOH Liu Ying
52,2020,JANUARY,https://bwfworldtour.bwfbadminton.com/tournament/3752/daihatsu-indonesia-masters-2020,DAIHATSU Indonesia Masters 2020,14 - 19 JANUARY,"PRIZE MONEY USD $400,000",https://extranet.bwf.sport/docs/tmt-category/WT_500.svg,Jakarta,Indonesia,Anthony Sinisuka GINTING,Anders ANTONSEN,Viktor AXELSEN,LEE Cheuk Yiu,Ratchanok INTANON,Carolina MARIN,HE Bing Jiao,WANG Zhi Yi,Marcus Fernaldi GIDEON,Kevin Sanjaya SUKAMULJO,Mohammad AHSAN,Hendra SETIAWAN,Fajar ALFIAN,Muhammad Rian ARDIANTO,Aaron CHIA,SOH Wooi Yik,Greysia POLII,Apriyani RAHAYU,Maiken FRUERGAARD,Sara THYGESEN,KIM So Yeong,KONG Hee Yong,Misaki MATSUTOMO,Ayaka TAKAHASHI,ZHENG Si Wei,HUANG Ya Qiong,WANG Yi Lyu,HUANG Dong Ping,TAN Kian Meng,LAI Pei Jing,Thom GICQUEL,Delphine DELRUE
53,2020,JANUARY,https://bwfworldtour.bwfbadminton.com/tournament/3688/princess-sirivannavari-thailand-masters-2020,Princess Sirivannavari Thailand Masters 2020,21 - 26 JANUARY,"PRIZE MONEY USD $170,000",https://extranet.bwf.sport/docs/tmt-category/WT_300.svg,Bangkok,Thailand,NG Ka Long Angus,Kenta NISHIMOTO,SHI Yu Qi,Kunlavut VITIDSARN,Akane YAMAGUCHI,AN Se Young,Carolina MARIN,Aya OHORI,ONG Yew Sin,TEO Ee Yi,HUANG Kai Xiang,LIU Cheng,LEE Jhe-Huei,YANG Po-Hsuan,GOH V Shem,TAN Wee Kiong,CHEN Qing Chen,JIA Yi Fan,BAEK Ha Na,JUNG Kyung Eun,CHANG Ye Na,KIM Hyerin,KIM So Yeong,KONG Hee Yong,Marcus ELLIS,Lauren SMITH,Hafiz FAIZAL,Gloria Emanuelle WIDJAJA,TAN Kian Meng,LAI Pei Jing,GOH Soon Huat,LAI Shevon Jemie
54,2020,"
FEBRUARY ",https://bwfworldtour.bwfbadminton.com/tournament/3748/barcelona-spain-masters-2020,Barcelona Spain Masters 2020,18 - 23 FEBRUARY,"PRIZE MONEY USD $170,000",https://extranet.bwf.sport/docs/tmt-category/WT_300.svg,Barcelona,Spain,Viktor AXELSEN,Kunlavut VITIDSARN,Ajay JAYARAM,LIEW Daren,Pornpawee CHOCHUWONG,Carolina MARIN,Supanida KATETHONG,Busanan ONGBAMRUNGPHAN,Kim ASTRUP,Anders Skaarup RASMUSSEN,LEE Yang,WANG Chi-Lin,Aaron CHIA,SOH Wooi Yik,LU Ching Yao,YANG Po Han,Greysia POLII,Apriyani RAHAYU,Gabriela STOEVA,Stefani STOEVA,Jongkolphan KITITHARAKUL,Rawinda PRAJONGJAI,Chloe BIRCH,Lauren SMITH,KIM Sa Rang,KIM Ha Na,Thom GICQUEL,Delphine DELRUE,YANG Po-Hsuan,HU Ling Fang,Mathias BAY-SMIDT,Rikke SØBY
55,2020,"
MARCH ",https://bwfworldtour.bwfbadminton.com/tournament/3690/yonex-all-england-open-2020,YONEX All England Open 2020,11 - 15 MARCH,"PRIZE MONEY USD $1,100,000",https://extranet.bwf.sport/docs/tmt-category/WT_1000.svg,Birmingham,England,Viktor AXELSEN,CHOU Tien Chen,Anders ANTONSEN,LEE Zii Jia,TAI Tzu Ying,CHEN Yu Fei,Carolina MARIN,Nozomi OKUHARA,Hiroyuki ENDO,Yuta WATANABE,Marcus Fernaldi GIDEON,Kevin Sanjaya SUKAMULJO,Vladimir IVANOV,Ivan SOZONOV,LEE Yang,WANG Chi-Lin,Yuki FUKUSHIMA,Sayaka HIROTA,DU Yue,LI Yin Hui,LEE So Hee,SHIN Seung Chan,Misaki MATSUTOMO,Ayaka TAKAHASHI,Praveen JORDAN,Melati Daeva OKTAVIANTI,Dechapol PUAVARANUKROH,Sapsiree TAERATTANACHAI,SEO Seung Jae,CHAE Yu Jung,Marcus ELLIS,Lauren SMITH
56,2020,"
OCTOBER ",https://bwfworldtour.bwfbadminton.com/tournament/3801/danisa-denmark-open-i-2020,DANISA Denmark Open I 2020,13 - 18 OCTOBER,"PRIZE MONEY USD $750,000",https://extranet.bwf.sport/docs/tmt-category/WT_750.svg,Odense V,Denmark,Anders ANTONSEN,Rasmus GEMKE,CHOU Tien Chen,Kenta NISHIMOTO,Nozomi OKUHARA,Carolina MARIN,Michelle LI,Yvonne LI,Marcus ELLIS,Chris LANGRIDGE,Vladimir IVANOV,Ivan SOZONOV,Joel EIPE,Rasmus KJÆR,Ben LANE,Sean VENDY,Yuki FUKUSHIMA,Sayaka HIROTA,Mayu MATSUMOTO,Wakana NAGAHARA,Christine BUSCH,Amalie SCHULZ,Gabriela STOEVA,Stefani STOEVA,Mark LAMSFUSS,Isabel LOHAU,Chris ADCOCK,Gabrielle ADCOCK,Julien MAIO,Lea PALERMO,Marcus ELLIS,Lauren SMITH
57,2021,JANUARY,https://bwfworldtour.bwfbadminton.com/tournament/4108/yonex-thailand-open,YONEX Thailand Open,12 - 17 JANUARY,"PRIZE MONEY USD $1,000,000",https://extranet.bwf.sport/docs/tmt-category/WT_1000.svg,Bangkok,Thailand,Viktor AXELSEN,NG Ka Long Angus,CHOU Tien Chen,Anthony Sinisuka GINTING,Carolina MARIN,TAI Tzu Ying,AN Se Young,Mia BLICHFELDT,LEE Yang,WANG Chi-Lin,GOH V Shem,TAN Wee Kiong,Leo Rolly CARNANDO,Daniel MARTHIN,CHOI Sol Gyu,SEO Seung Jae,Greysia POLII,Apriyani RAHAYU,Jongkolphan KITITHARAKUL,Rawinda PRAJONGJAI,KIM So Yeong,KONG Hee Yong,LEE So Hee,SHIN Seung Chan,Dechapol PUAVARANUKROH,Sapsiree TAERATTANACHAI,Praveen JORDAN,Melati Daeva OKTAVIANTI,SEO Seung Jae,CHAE Yu Jung,Thom GICQUEL,Delphine DELRUE
58,2021,JANUARY,https://bwfworldtour.bwfbadminton.com/tournament/4109/toyota-thailand-open,TOYOTA Thailand Open,19 - 24 JANUARY,"PRIZE MONEY USD $1,000,000",https://extranet.bwf.sport/docs/tmt-category/WT_1000.svg,Bangkok,Thailand,Viktor AXELSEN,Hans-Kristian Solberg VITTINGHUS,Anders ANTONSEN,CHOU Tien Chen,Carolina MARIN,TAI Tzu Ying,AN Se Young,Ratchanok INTANON,LEE Yang,WANG Chi-Lin,Aaron CHIA,SOH Wooi Yik,Satwiksairaj RANKIREDDY,Chirag SHETTY,Mohammad AHSAN,Hendra SETIAWAN,KIM So Yeong,KONG Hee Yong,LEE So Hee,SHIN Seung Chan,CHOW Mei Kuan,LEE Meng Yean,Greysia POLII,Apriyani RAHAYU,Dechapol PUAVARANUKROH,Sapsiree TAERATTANACHAI,SEO Seung Jae,CHAE Yu Jung,Satwiksairaj RANKIREDDY,Ashwini PONNAPPA,HOO Pang Ron,CHEAH Yee See
59,2021,JANUARY,https://bwfworldtourfinals.bwfbadminton.com,HSBC BWF World Tour Finals 2020 (New Dates),27 - 31 JANUARY,"PRIZE MONEY USD $1,500,000",https://extranet.bwf.sport/docs/flags/thailand.png,Bangkok,Thailand,Viktor AXELSEN,Anthony Sinisuka GINTING,Jonatan CHRISTIE,Kodai NARAOKA,Akane YAMAGUCHI,TAI Tzu Ying,CHEN Yu Fei,HE Bing Jiao,LIU Yu Chen,OU Xuan Yi,Mohammad AHSAN,Hendra SETIAWAN,Fajar ALFIAN,Muhammad Rian ARDIANTO,ONG Yew Sin,TEO Ee Yi,CHEN Qing Chen,JIA Yi Fan,Benyapa AIMSAARD,Nuntakarn AIMSAARD,JEONG Na Eun,KIM Hye Jeong,ZHANG Shu Xian,ZHENG Yu,ZHENG Si Wei,HUANG Ya Qiong,Dechapol PUAVARANUKROH,Sapsiree TAERATTANACHAI,Rinov RIVALDY,Pitha Haningtyas MENTARI,TAN Kian Meng,LAI Pei Jing
60,2021,"
MARCH ",https://bwfworldtour.bwfbadminton.com/tournament/3964/yonex-swiss-open-2021-new-dates,YONEX Swiss Open 2021 (New Dates),02 - 07 MARCH,"PRIZE MONEY USD $140,000",https://extranet.bwf.sport/docs/tmt-category/WT_300.svg,Basel,Switzerland,Viktor AXELSEN,Kunlavut VITIDSARN,KIDAMBI Srikanth,LEE Zii Jia,Carolina MARIN,PUSARLA V. Sindhu,Mia BLICHFELDT,Pornpawee CHOCHUWONG,Kim ASTRUP,Anders Skaarup RASMUSSEN,Mark LAMSFUSS,Marvin SEIDEL,Aaron CHIA,SOH Wooi Yik,Satwiksairaj RANKIREDDY,Chirag SHETTY,TAN Pearly,THINAAH Muralitharan,Gabriela STOEVA,Stefani STOEVA,CHOW Mei Kuan,LEE Meng Yean,Jongkolphan KITITHARAKUL,Rawinda PRAJONGJAI,Thom GICQUEL,Delphine DELRUE,Mathias CHRISTIANSEN,Alexandra BØJE,TAN Kian Meng,LAI Pei Jing,Marcus ELLIS,Lauren SMITH
61,2021,"
MARCH ",https://bwfworldtour.bwfbadminton.com/tournament/3982/yonex-all-england-open-badminton-championships-2021,YONEX All England Open Badminton Championships 2021,17 - 21 MARCH,"PRIZE MONEY USD $850,000",https://extranet.bwf.sport/docs/tmt-category/WT_1000.svg,Birmingham,England,LEE Zii Jia,Viktor AXELSEN,Anders ANTONSEN,Mark CALJOUW,Nozomi OKUHARA,Pornpawee CHOCHUWONG,Ratchanok INTANON,PUSARLA V. Sindhu,Hiroyuki ENDO,Yuta WATANABE,Takeshi KAMURA,Keigo SONODA,Kim ASTRUP,Anders Skaarup RASMUSSEN,Jeppe BAY,Lasse MØLHEDE,Mayu MATSUMOTO,Wakana NAGAHARA,Yuki FUKUSHIMA,Sayaka HIROTA,Selena PIEK,Cheryl SEINEN,Nami MATSUYAMA,Chiharu SHIDA,Yuta WATANABE,Arisa HIGASHINO,Yuki KANEKO,Misaki MATSUTOMO,Marcus ELLIS,Lauren SMITH,CHAN Peng Soon,GOH Liu Ying
62,2021,"
MAY ",https://bwfworldtour.bwfbadminton.com/tournament/4038/spain-masters-2021-new-dates,Spain Masters 2021 (New Dates),18 - 23 MAY,"PRIZE MONEY USD $140,000",https://extranet.bwf.sport/docs/tmt-category/WT_300.svg,Huelva,Spain,Toma Junior POPOV,Chico  Aura DWI WARDOYO,LEE Dong Keun,Shesar Hiren RHUSTAVITO,Putri Kusuma WARDANI,Line CHRISTOPHERSEN,LéOnice HUET,Jenjira STADELMANN,Pramudya KUSUMAWARDANA,Yeremia Erich Yoche Yacob RAMBITAN,Sabar Karyaman GUTAMA,Moh Reza Pahlevi ISFAHANI,Adam HALL,Frederik SØGAARD,Christo POPOV,Toma Junior POPOV,Yulfira BARKAH,Febby Valencia Dwijayanti GANI,Amalie MAGELUND,Freja RAVN,Julie MACPHERSON,Ciara TORRANCE,Alyssa TIRTOSENTONO,Imke VAN DER AAR,Rinov RIVALDY,Pitha Haningtyas MENTARI,Niclas NOHR,Amalie MAGELUND,Ruben JILLE,Imke VAN DER AAR,Adam HALL,Julie MACPHERSON
63,2021,"
OCTOBER ",https://bwfworldtour.bwfbadminton.com/tournament/3971/victor-denmark-open-2021,VICTOR Denmark Open 2021,19 - 24 OCTOBER,"PRIZE MONEY USD $850,000",https://extranet.bwf.sport/docs/tmt-category/WT_1000.svg,Odense V,Denmark,Viktor AXELSEN,Kento MOMOTA,LEE Cheuk Yiu,Tommy SUGIARTO,Akane YAMAGUCHI,AN Se Young,Kirsty GILMOUR,HE Bing Jiao,Takuro HOKI,Yugo KOBAYASHI,Kim ASTRUP,Anders Skaarup RASMUSSEN,GOH Sze Fei,Nur IZZUDDIN,Mark LAMSFUSS,Marvin SEIDEL,HUANG Dong Ping,ZHENG Yu,LEE So Hee,SHIN Seung Chan,KIM So Yeong,KONG Hee Yong,Jongkolphan KITITHARAKUL,Rawinda PRAJONGJAI,Yuta WATANABE,Arisa HIGASHINO,Dechapol PUAVARANUKROH,Sapsiree TAERATTANACHAI,Praveen JORDAN,Melati Daeva OKTAVIANTI,WANG Yi Lyu,HUANG Dong Ping
64,2021,"
OCTOBER ",https://bwfworldtour.bwfbadminton.com/tournament/3972/yonex-french-open-2021,YONEX French Open 2021,26 - 31 OCTOBER,"PRIZE MONEY USD $600,000",https://extranet.bwf.sport/docs/tmt-category/WT_750.svg,Paris,France,Kanta TSUNEYAMA,CHOU Tien Chen,HEO Kwang Hee,Kento MOMOTA,Akane YAMAGUCHI,Sayaka TAKAHASHI,AN Se Young,PUSARLA V. Sindhu,KO Sung Hyun,SHIN Baek Cheol,Marcus Fernaldi GIDEON,Kevin Sanjaya SUKAMULJO,Fajar ALFIAN,Muhammad Rian ARDIANTO,Aaron CHIA,SOH Wooi Yik,LEE So Hee,SHIN Seung Chan,KIM So Yeong,KONG Hee Yong,Yuki FUKUSHIMA,Arisa HIGASHINO,Nami MATSUYAMA,Chiharu SHIDA,Yuta WATANABE,Arisa HIGASHINO,Mathias CHRISTIANSEN,Alexandra BØJE,Dechapol PUAVARANUKROH,Sapsiree TAERATTANACHAI,TANG Chun Man,TSE Ying Suet
65,2021,"
NOVEMBER ",https://bwfworldtour.bwfbadminton.com/tournament/3979/hylo-open-2021-formerly-saarlorlux-open,HYLO Open 2021 (formerly SaarLorLux Open),02 - 07 NOVEMBER,"PRIZE MONEY USD $320,000",https://extranet.bwf.sport/docs/tmt-category/WT_500.svg,Saarbrücken,Germany,LOH Kean Yew,LEE Zii Jia,KIDAMBI Srikanth,Lakshya SEN,Busanan ONGBAMRUNGPHAN,YEO Jia Min,LALINRAT CHAIWAN,Michelle LI,Marcus Fernaldi GIDEON,Kevin Sanjaya SUKAMULJO,Leo Rolly CARNANDO,Daniel MARTHIN,Supak JOMKOH,Kittinupong KEDREN,Pramudya KUSUMAWARDANA,Yeremia Erich Yoche Yacob RAMBITAN,Chisato HOSHI,Aoi MATSUDA,Rin IWANAGA,Kie NAKANISHI,Jongkolphan KITITHARAKUL,Rawinda PRAJONGJAI,Siti Fadia Silva RAMADHANTI,Ribka SUGIARTO,Dechapol PUAVARANUKROH,Sapsiree TAERATTANACHAI,Praveen JORDAN,Melati Daeva OKTAVIANTI,Supak JOMKOH,Supissara PAEWSAMPRAN,Rinov RIVALDY,Pitha Haningtyas MENTARI
66,2021,"
NOVEMBER ",https://bwfworldtour.bwfbadminton.com/tournament/4036/daihatsu-indonesia-masters-2021-new-dates,DAIHATSU Indonesia Masters 2021(New dates),16 - 21 NOVEMBER,"PRIZE MONEY USD $600,000",https://extranet.bwf.sport/docs/tmt-category/WT_750.svg,Bali,Indonesia,Kento MOMOTA,Anders ANTONSEN,CHOU Tien Chen,KIDAMBI Srikanth,AN Se Young,Akane YAMAGUCHI,LALINRAT CHAIWAN,PUSARLA V. Sindhu,Takuro HOKI,Yugo KOBAYASHI,Marcus Fernaldi GIDEON,Kevin Sanjaya SUKAMULJO,Aaron CHIA,SOH Wooi Yik,ONG Yew Sin,TEO Ee Yi,Nami MATSUYAMA,Chiharu SHIDA,JEONG Na Eun,KIM Hye Jeong,KIM So Yeong,KONG Hee Yong,Puttita SUPAJIRAKUL,Sapsiree TAERATTANACHAI,Dechapol PUAVARANUKROH,Sapsiree TAERATTANACHAI,TANG Chun Man,TSE Ying Suet,KO Sung Hyun,EOM Hye Won,Yuta WATANABE,Arisa HIGASHINO
67,2021,"
NOVEMBER ",https://bwfworldtour.bwfbadminton.com/tournament/4039/siminvest-indonesia-open-2021-new-dates,SimInvest Indonesia Open 2021(New dates),23 - 28 NOVEMBER,"PRIZE MONEY USD $850,000",https://extranet.bwf.sport/docs/tmt-category/WT_1000.svg,Bali,Indonesia,Viktor AXELSEN,LOH Kean Yew,Jonatan CHRISTIE,Rasmus GEMKE,AN Se Young,Ratchanok INTANON,Pornpawee CHOCHUWONG,PUSARLA V. Sindhu,Marcus Fernaldi GIDEON,Kevin Sanjaya SUKAMULJO,Takuro HOKI,Yugo KOBAYASHI,Akira KOGA,Taichi SAITO,Satwiksairaj RANKIREDDY,Chirag SHETTY,Nami MATSUYAMA,Chiharu SHIDA,Greysia POLII,Apriyani RAHAYU,BAEK Ha Na,LEE Yu Lim,Jongkolphan KITITHARAKUL,Rawinda PRAJONGJAI,Dechapol PUAVARANUKROH,Sapsiree TAERATTANACHAI,Yuta WATANABE,Arisa HIGASHINO,Mathias CHRISTIANSEN,Alexandra BØJE,KO Sung Hyun,EOM Hye Won
68,2022,JANUARY,https://bwfworldtour.bwfbadminton.com/tournament/4426/yonex-sunrise-india-open-2022,YONEX-SUNRISE India Open 2022,11 - 16 JANUARY,"PRIZE MONEY USD $400,000",https://extranet.bwf.sport/docs/tmt-category/WT_500.svg,New Delhi,India,Lakshya SEN,LOH Kean Yew,NG Tze Yong,Brian YANG,Busanan ONGBAMRUNGPHAN,Supanida KATETHONG,AAKARSHI KASHYAP,PUSARLA V. Sindhu,Satwiksairaj RANKIREDDY,Chirag SHETTY,Mohammad AHSAN,Hendra SETIAWAN,Fabien DELRUE,William VILLEGER,ONG Yew Sin,TEO Ee Yi,Benyapa AIMSAARD,Nuntakarn AIMSAARD,Anastasiia AKCHURINA,Olga MOROZOVA,Ekaterina MALKOVA,Anastasiia SHAPOVALOVA,Haritha MANAZHIYIL H,Ashna ROY,HEE Yong Kai Terry,TAN Wei Han Jessica,CHEN Tang Jie,PECK Yen Wei,Rodion ALIMOV,Alina DAVLETOVA,TAN Kian Meng,LAI Pei Jing
69,2022,JANUARY,https://bwfworldtour.bwfbadminton.com/tournament/4427/syed-modi-india-international-2022,Syed Modi India International 2022,18 - 23 JANUARY,"PRIZE MONEY USD $150,000",https://extranet.bwf.sport/docs/tmt-category/WT_300.svg,Lucknow,India,Lucas CLAERBOUT,Arnaud MERKLE,Mithun MANJUNATH,Nhat NGUYEN,PUSARLA V. Sindhu,Malvika BANSOD,Evgeniya KOSETSKAYA,Anupama UPADHYAYA,MAN Wei Chong,Kai Wun TEE,Krishna Prasad GARAGA,Vishnuvardhan Goud PANJALA,M.R. ARJUN,DHRUV KAPILA,Prem Singh CHOUHAN,Rajesh VERMA,Anna Ching Yik CHEONG,TEOH Mei Xing,Treesa JOLLY,GAYATRI GOPICHAND PULLELA,LOW Yeen Yuan,Valeree SIOW,Haritha MANAZHIYIL H,Ashna ROY,Ishaan BHATNAGAR,Tanisha CRASTO,THANDRANGI Hema Nagendra Babu,Srivedya GURAZADA,M.R. ARJUN,Treesa JOLLY,Akshan SHETTY,Simran SINGHI
70,2022,"
MARCH ",https://bwfworldtour.bwfbadminton.com/tournament/4430/yonex-gainward-german-open-2022,YONEX GAINWARD German Open 2022,08 - 13 MARCH,"PRIZE MONEY USD $180,000",https://extranet.bwf.sport/docs/tmt-category/WT_300.svg,Muelheim an der Ruhr,Germany,Kunlavut VITIDSARN,Lakshya SEN,Viktor AXELSEN,LEE Zii Jia,HE Bing Jiao,CHEN Yu Fei,AN Se Young,ZHANG Yi Man,GOH Sze Fei,Nur IZZUDDIN,LIU Yu Chen,OU Xuan Yi,Kim ASTRUP,Anders Skaarup RASMUSSEN,HE Ji Ting,ZHOU Hao Dong,CHEN Qing Chen,JIA Yi Fan,Gabriela STOEVA,Stefani STOEVA,Jongkolphan KITITHARAKUL,Rawinda PRAJONGJAI,ZHANG Shu Xian,ZHENG Yu,Dechapol PUAVARANUKROH,Sapsiree TAERATTANACHAI,OU Xuan Yi,HUANG Ya Qiong,Marcus ELLIS,Lauren SMITH,Adam HALL,Julie MACPHERSON
71,2022,"
MARCH ",https://bwfworldtour.bwfbadminton.com/tournament/4431/yonex-all-england-open-badminton-championships-2022,YONEX All England Open Badminton Championships 2022,16 - 20 MARCH,"PRIZE MONEY USD $1,000,000",https://extranet.bwf.sport/docs/tmt-category/WT_1000.svg,Birmingham,England,Viktor AXELSEN,Lakshya SEN,CHOU Tien Chen,LEE Zii Jia,Akane YAMAGUCHI,AN Se Young,CHEN Yu Fei,TAI Tzu Ying,Muhammad Shohibul FIKRI,Bagas MAULANA,Mohammad AHSAN,Hendra SETIAWAN,Marcus Fernaldi GIDEON,Kevin Sanjaya SUKAMULJO,HE Ji Ting,TAN Qiang,Nami MATSUYAMA,Chiharu SHIDA,ZHANG Shu Xian,ZHENG Yu,Treesa JOLLY,GAYATRI GOPICHAND PULLELA,JEONG Na Eun,KIM Hye Jeong,Yuta WATANABE,Arisa HIGASHINO,WANG Yi Lyu,HUANG Dong Ping,Dechapol PUAVARANUKROH,Sapsiree TAERATTANACHAI,ZHENG Si Wei,HUANG Ya Qiong
72,2022,"
MARCH ",https://bwfworldtour.bwfbadminton.com/tournament/4432/yonex-swiss-open-2022,YONEX Swiss Open 2022,22 - 27 MARCH,"PRIZE MONEY USD $180,000",https://extranet.bwf.sport/docs/tmt-category/WT_300.svg,Basel,Switzerland,Jonatan CHRISTIE,PRANNOY H. S.,Anthony Sinisuka GINTING,KIDAMBI Srikanth,PUSARLA V. Sindhu,Busanan ONGBAMRUNGPHAN,Kirsty GILMOUR,Supanida KATETHONG,Fajar ALFIAN,Muhammad Rian ARDIANTO,GOH Sze Fei,Nur IZZUDDIN,Aaron CHIA,SOH Wooi Yik,Pramudya KUSUMAWARDANA,Yeremia Erich Yoche Yacob RAMBITAN,Gabriela STOEVA,Stefani STOEVA,Linda EFLER,Isabel LOHAU,Jongkolphan KITITHARAKUL,Rawinda PRAJONGJAI,Vivian HOO,LIM Chiew Sien,Mark LAMSFUSS,Isabel LOHAU,GOH Soon Huat,LAI Shevon Jemie,Rehan Naufal KUSHARJANTO,Lisa Ayu KUSUMAWATI,TAN Kian Meng,LAI Pei Jing
73,2022,"
APRIL ",https://bwfworldtour.bwfbadminton.com/tournament/4434/korea-open-badminton-championships-2022,Korea Open Badminton Championships 2022,05 - 10 APRIL,"PRIZE MONEY USD $360,000",https://extranet.bwf.sport/docs/tmt-category/WT_500.svg,Suncheon,Korea,WENG Hong Yang,Jonatan CHRISTIE,KIDAMBI Srikanth,Victor SVENDSEN,AN Se Young,Pornpawee CHOCHUWONG,KIM Ga Eun,PUSARLA V. Sindhu,KANG Min Hyuk,SEO Seung Jae,Fajar ALFIAN,Muhammad Rian ARDIANTO,Muhammad Shohibul FIKRI,Bagas MAULANA,Mohammad AHSAN,Hendra SETIAWAN,JEONG Na Eun,KIM Hye Jeong,Benyapa AIMSAARD,Nuntakarn AIMSAARD,CHANG Ye Na,JUNG Kyung Eun,EOM Hye Won,KIM Bo Ryeong,TAN Kian Meng,LAI Pei Jing,KO Sung Hyun,EOM Hye Won,KIM Won Ho,JEONG Na Eun,Rinov RIVALDY,Pitha Haningtyas MENTARI
74,2022,"
APRIL ",https://bwfworldtour.bwfbadminton.com/tournament/4435/2022-gwangju-yonex-korea-masters,2022 Gwangju YONEX Korea Masters,12 - 17 APRIL,"PRIZE MONEY USD $180,000",https://extranet.bwf.sport/docs/tmt-category/WT_300.svg,Gwangju,Korea,JEON Hyeok Jin,Kodai NARAOKA,SOONG Joo Ven,Sitthikom THAMMASIN,HE Bing Jiao,CHEN Yu Fei,AN Se Young,WANG Zhi Yi,KIM Gi Jung,KIM Sa Rang,LIU Yu Chen,OU Xuan Yi,CHOI Sol Gyu,KIM Won Ho,Hiroki OKAMURA,Masayuki ONODERA,KIM So Yeong,KONG Hee Yong,BAEK Ha Na,LEE Yu Lim,DU Yue,LI Wen Mei,EOM Hye Won,KIM Bo Ryeong,WANG Yi Lyu,HUANG Dong Ping,OU Xuan Yi,HUANG Ya Qiong,GOH Soon Huat,LAI Shevon Jemie,JIN Yong,LEE Yu Lim
